,targeted_expression,baseline_expression,gene,log10_targeted_expression,log10_baseline_expression,fraction_remaining
ABRAXAS1_1,1.6792329e-06,1.5008581e-05,ABRAXAS1,-5.7746305,-4.8236313,0.11194403
ABRAXAS1_2,1.8724936e-06,1.5008581e-05,ABRAXAS1,-5.727348,-4.8236313,0.124819845
ABRAXAS1_3,2.283203e-06,1.5008581e-05,ABRAXAS1,-5.6412654,-4.8236313,0.152183
APTX_1_1,1.001849e-05,5.8605965e-05,APTX,-4.9991546,-4.232051,0.17096074
APTX_1_2,1.5486923e-05,5.8605965e-05,APTX,-4.8100066,-4.232051,0.26426762
APTX_1_3,1.2715827e-05,5.8605965e-05,APTX,-4.8956213,-4.232051,0.21698493
ASCC3_1,2.261766e-06,4.0502608e-05,ASCC3,-5.6453605,-4.392506,0.055865787
ASCC3_2,1.9178185e-06,4.0502608e-05,ASCC3,-5.716966,-4.392506,0.047374014
ASCC3_3,2.6984972e-06,4.0502608e-05,ASCC3,-5.568717,-4.392506,0.06664831
ATM_1,7.264149e-06,3.5470894e-05,ATM,-5.1387553,-4.4501157,0.20481424
ATM_2,7.3992765e-06,3.5470894e-05,ATM,-5.130752,-4.4501157,0.20862366
ATM_3,6.7815695e-06,3.5470894e-05,ATM,-5.168606,-4.4501157,0.19120967
ATRIP_1,2.5181805e-06,1.2314178e-05,ATRIP,-5.5987406,-4.9095592,0.204559
ATRIP_2,1.3799848e-06,1.2314178e-05,ATRIP,-5.8598113,-4.9095592,0.11213681
ATRIP_3,1.7463517e-06,1.2314178e-05,ATRIP,-5.75762,-4.9095592,0.14188603
ATR_1,2.0894101e-06,1.6090671e-05,ATR,-5.6797686,-4.793399,0.12990634
ATR_2,1.5460121e-06,1.6090671e-05,ATR,-5.8105063,-4.793399,0.096137434
ATR_3,1.088385e-06,1.6090671e-05,ATR,-5.9628186,-4.793399,0.06769869
BARD1_1,9.4382074e-07,1.9877984e-05,BARD1,-6.0246506,-4.701606,0.04752862
BARD1_2,1.2999468e-06,1.9877984e-05,BARD1,-5.8857403,-4.701606,0.06544332
BLM_1,1.895123e-06,2.577537e-05,BLM,-5.7221336,-4.588778,0.073560506
BLM_2,1.2696349e-06,2.577537e-05,BLM,-5.8959794,-4.588778,0.04929456
BLM_3,1.5212466e-06,2.577537e-05,BLM,-5.817515,-4.588778,0.059055895
