,G1,G2M,S
ABRAXAS1_1,0.08225108225108226,0.3722943722943723,0.5454545454545454
ABRAXAS1_2,0.05238095238095238,0.3761904761904762,0.5714285714285714
ABRAXAS1_3,0.1111111111111111,0.3333333333333333,0.5555555555555556
APTX_1_1,0.1111111111111111,0.43434343434343436,0.45454545454545453
APTX_1_2,0.1262135922330097,0.3786407766990291,0.49514563106796117
APTX_1_3,0.07633587786259542,0.4580152671755725,0.46564885496183206
ASCC3_1,0.1187214611872146,0.3607305936073059,0.5205479452054794
ASCC3_2,0.10810810810810811,0.3108108108108108,0.581081081081081
ASCC3_3,0.1391304347826087,0.34782608695652173,0.5130434782608696
ATM_1,0.10497237569060773,0.39226519337016574,0.5027624309392266
ATM_2,0.1457286432160804,0.33668341708542715,0.5175879396984925
ATM_3,0.11981566820276497,0.3824884792626728,0.4976958525345622
ATRIP_1,0.096,0.44,0.464
ATRIP_2,0.08379888268156424,0.37988826815642457,0.5363128491620112
ATRIP_3,0.14705882352941177,0.39705882352941174,0.45588235294117646
ATR_1,0.20218579234972678,0.4262295081967213,0.37158469945355194
ATR_2,0.2033195020746888,0.44813278008298757,0.34854771784232363
ATR_3,0.1994219653179191,0.430635838150289,0.3699421965317919
BARD1_1,0.1144578313253012,0.3313253012048193,0.5542168674698795
BARD1_2,0.11065573770491803,0.4180327868852459,0.4713114754098361
BLM_1,0.08641975308641975,0.4444444444444444,0.4691358024691358
BLM_2,0.13333333333333333,0.45,0.4166666666666667
BLM_3,0.07575757575757576,0.4166666666666667,0.5075757575757576
BRCA1_1,0.1574074074074074,0.37962962962962965,0.46296296296296297
BRCA1_2,0.14049586776859505,0.34710743801652894,0.512396694214876
BRCA1_3,0.18556701030927836,0.27835051546391754,0.5360824742268041
BRCA2_1,0.03636363636363636,0.37272727272727274,0.5909090909090909
BRCA2_2,0.116751269035533,0.36548223350253806,0.5177664974619289
BRCA2_3,0.125,0.39705882352941174,0.47794117647058826
BRD9_1,0.06542056074766354,0.411214953271028,0.5233644859813084
BRD9_2,0.06818181818181818,0.3977272727272727,0.5340909090909091
BRD9_3,0.05172413793103448,0.47126436781609193,0.47701149425287354
BRIP1_1,0.16806722689075632,0.3445378151260504,0.48739495798319327
BRIP1_2,0.12844036697247707,0.3577981651376147,0.5137614678899083
BRIP1_3,0.1278538812785388,0.3698630136986301,0.502283105022831
CHAF1A_1,0.20930232558139536,0.5116279069767442,0.27906976744186046
CHAF1A_2,0.24545454545454545,0.32727272727272727,0.42727272727272725
CHAF1A_3,0.17647058823529413,0.39705882352941174,0.4264705882352941
CHAF1B_1,0.2727272727272727,0.36363636363636365,0.36363636363636365
CHAF1B_2,0.26582278481012656,0.34177215189873417,0.3924050632911392
CHAF1B_3,0.297029702970297,0.40594059405940597,0.297029702970297
DCLRE1C_1,0.08839779005524862,0.40331491712707185,0.5082872928176796
DCLRE1C_2,0.09333333333333334,0.4066666666666667,0.5
DCLRE1C_3,0.09502262443438914,0.334841628959276,0.5701357466063348
DHX15_2,0.2537313432835821,0.34328358208955223,0.40298507462686567
DHX15_3,0.31,0.32,0.37
DHX36_1,0.15,0.3,0.55
DHX36_2,0.11851851851851852,0.3925925925925926,0.4888888888888889
DHX36_3,0.152317880794702,0.4370860927152318,0.4105960264900662
DMAP1_1,0.18518518518518517,0.3333333333333333,0.48148148148148145
DMAP1_2,0.2830188679245283,0.3490566037735849,0.36792452830188677
DMAP1_3,0.3037974683544304,0.379746835443038,0.31645569620253167
DNA2_1,0.1948529411764706,0.3860294117647059,0.41911764705882354
DNA2_2,0.2111801242236025,0.39544513457556935,0.39337474120082816
DNA2_3,0.2029520295202952,0.4354243542435424,0.36162361623616235
DNA2_9,0.1289855072463768,0.39710144927536234,0.47391304347826085
DTL_1,0.17582417582417584,0.32967032967032966,0.4945054945054945
DTL_3,0.29914529914529914,0.26495726495726496,0.4358974358974359
DUT_1,0.18493150684931506,0.2534246575342466,0.5616438356164384
DUT_2,0.1652542372881356,0.2584745762711864,0.576271186440678
DUT_3,0.14556962025316456,0.2911392405063291,0.5632911392405063
ENDOV_1,0.08860759493670886,0.3924050632911392,0.5189873417721519
ENDOV_2,0.1005586592178771,0.441340782122905,0.4581005586592179
ENDOV_3,0.10869565217391304,0.3423913043478261,0.5489130434782609
EP400_1,0.09090909090909091,0.36363636363636365,0.5454545454545454
EP400_2,0.3157894736842105,0.24210526315789474,0.4421052631578947
EWSR1_1,0.096045197740113,0.4180790960451977,0.4858757062146893
EWSR1_2,0.1592920353982301,0.3805309734513274,0.46017699115044247
EWSR1_3,0.1258741258741259,0.35664335664335667,0.5174825174825175
EXD2_1,0.05649717514124294,0.3898305084745763,0.5536723163841808
EXD2_3,0.07655502392344497,0.4258373205741627,0.49760765550239233
EXD2_6,0.08994708994708994,0.3492063492063492,0.5608465608465608
EXO1_1,0.10236220472440945,0.4094488188976378,0.4881889763779528
EXO1_2,0.12280701754385964,0.3333333333333333,0.543859649122807
EXO1_3,0.1134020618556701,0.35051546391752575,0.5360824742268041
FAAP24_1,0.11290322580645161,0.43548387096774194,0.45161290322580644
FAAP24_2,0.0847457627118644,0.3813559322033898,0.5338983050847458
FANCA_1,0.17415730337078653,0.34269662921348315,0.48314606741573035
FANCA_2,0.07692307692307693,0.3162393162393162,0.6068376068376068
FANCB_2,0.03389830508474576,0.4067796610169492,0.559322033898305
FANCB_3,0.15841584158415842,0.37623762376237624,0.46534653465346537
FANCC_1,0.04929577464788732,0.38028169014084506,0.5704225352112676
FANCC_2,0.1,0.375,0.525
FANCD2_1,0.1103448275862069,0.31724137931034485,0.5724137931034483
FANCD2_2,0.11330049261083744,0.3842364532019704,0.5024630541871922
FANCD2_3,0.0990990990990991,0.4864864864864865,0.4144144144144144
FANCE_1,0.08379888268156424,0.39664804469273746,0.5195530726256983
FANCE_2,0.1368421052631579,0.30526315789473685,0.5578947368421052
FANCE_3,0.09550561797752809,0.4044943820224719,0.5
FANCF_1,0.11917098445595854,0.35233160621761656,0.5284974093264249
FANCF_2,0.08974358974358974,0.3076923076923077,0.6025641025641025
FANCF_3,0.1504424778761062,0.35398230088495575,0.49557522123893805
FANCG_2,0.06306306306306306,0.42342342342342343,0.5135135135135135
FANCG_3,0.06976744186046512,0.45348837209302323,0.47674418604651164
FANCI_2,0.1188118811881188,0.32673267326732675,0.5544554455445545
FANCI_3,0.15267175572519084,0.3282442748091603,0.5190839694656488
FANCL_2,0.030612244897959183,0.5102040816326531,0.45918367346938777
FANCL_3,0.08860759493670886,0.3924050632911392,0.5189873417721519
FANCM_1,0.09146341463414634,0.38414634146341464,0.524390243902439
FANCM_2,0.15546218487394958,0.42436974789915966,0.42016806722689076
FIP1L1_1,0.1111111111111111,0.46405228758169936,0.42483660130718953
FIP1L1_2,0.075,0.45,0.475
H2AFX_1,0.07111111111111111,0.4088888888888889,0.52
H2AFX_2,0.0979381443298969,0.31958762886597936,0.5824742268041238
H2AFX_3,0.11851851851851852,0.37037037037037035,0.5111111111111111
HELB_1,0.13385826771653545,0.3779527559055118,0.4881889763779528
HELB_2,0.09375,0.40625,0.5
HELB_3,0.06547619047619048,0.42857142857142855,0.5059523809523809
HELQ_1,0.08287292817679558,0.4198895027624309,0.4972375690607735
HELQ_2,0.1780821917808219,0.3287671232876712,0.4931506849315068
HELQ_3,0.10434782608695652,0.34782608695652173,0.5478260869565217
HLTF_1,0.09316770186335403,0.40372670807453415,0.5031055900621118
HLTF_2,0.12138728323699421,0.32947976878612717,0.5491329479768786
HLTF_3,0.09937888198757763,0.37888198757763975,0.5217391304347826
HNRNPA1_1,0.13008130081300814,0.3943089430894309,0.47560975609756095
HNRNPA1_2,0.0759493670886076,0.37341772151898733,0.5506329113924051
HNRNPA1_3,0.12376237623762376,0.33663366336633666,0.5396039603960396
HUS1_1,0.23333333333333334,0.36666666666666664,0.4
HUS1_2,0.13793103448275862,0.4482758620689655,0.41379310344827586
HUS1_3,0.13541666666666666,0.3645833333333333,0.5
